,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship
12719,2020,35380,1,1,3,4,2,300000,75000,4,1,37,4,13,"1,6",1,"2,1",1
12720,2020,35010,1,0,,3,1,210000,70000,4,2,47,4,13,1,1,"2,4",1
12721,2020,35380,1,1,3,2,0,200000,100000,4,1,54,5,13,"1,6",1,"2,1",1
12722,2020,36320,1,1,3,4,2,400000,100000,5,2,38,5,13,"1,6",1,"2,1",1
12723,2020,36370,1,0,,4,0,200000,50000,4,2,56,5,13,"1,2",1,"2,8",3
12724,2020,36480,1,1,3,4,0,350000,87500,4,1,31,5,13,"1,6",1,2,3
12725,2020,35050,1,1,3,4,0,300000,75000,5,1,27,5,13,"1,6",1,"2,11",3
12726,2020,"3,603,036,030",2,1,2,2,0,223000,111500,4,1,62,6,13,"1,6",1,5,1
12731,2020,"3,502,035,020",2,0,,3,0,152001,47167,4,2,42,8,13,6,1,"5,8",1
12732,2020,36420,1,0,,4,0,174000,43500,4,2,55,8,13,"1,7",1,"9,1,4",5
12733,2020,"24,010,240,102,401,000,000",4,1,12,5,1,227001,60067,3,2,73,8,13,"2,4,8",6,"7,1,5",1
12735,2020,"3,603,036,030",2,0,,4,2,211000,59750,4,1,74,8,13,"1,2,6",1,"8,1,5",1
12738,2020,"333,303,834,034,340",3,1,3,4,1,287000,71750,4,1,45,10,13,"1,5,6",1,"5,9,4",1
12742,2020,31370,1,0,,4,0,355000,88750,5,2,63,11,13,"1,6",1,"4,2,5",1
12744,2020,"3,602,036,020",2,0,,3,0,150003,50001,3,1,75,10,13,"2,6",1,"5,3,4",1
